Name,Location,Province,Reviews,Rating(out of 5),URL
Rwindi Hostel,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d10258769-Reviews-Rwindi_Hostel-Kigali_Kigali_Province.html
Diana Home Inn,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d15353707-Reviews-Diana_Home_Inn-Kigali_Kigali_Province.html
Serenity Heights guesthouse,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d12116564-Reviews-Serenity_Heights_guesthouse-Kigali_Kigali_Province.html
Nganda Zela Ngai Guest House,Gisenyi,Western Province,,,https://www.tripadvisor.com/Hotel_Review-g317074-d13237563-Reviews-Nganda_Zela_Ngai_Guest_House-Gisenyi_Western_Province.html
Palmares Lac Kivu,Gisenyi,Western Province,,,https://www.tripadvisor.com/Hotel_Review-g317074-d13086274-Reviews-Palmares_Lac_Kivu-Gisenyi_Western_Province.html
Golden Hill Guest House,Gitarama,Southern Province,,,https://www.tripadvisor.com/Hotel_Review-g8397221-d12922613-Reviews-Golden_Hill_Guest_House-Gitarama_Southern_Province.html
Seed of Hope Center,Nyagatare,Eastern Province,,,https://www.tripadvisor.com/Hotel_Review-g6387380-d12543846-Reviews-Seed_of_Hope_Center-Nyagatare_Eastern_Province.html
Happy Garden Motel,Gisenyi,Western Province,,,https://www.tripadvisor.com/Hotel_Review-g317074-d13341865-Reviews-Happy_Garden_Motel-Gisenyi_Western_Province.html
Green Apartments,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d7738204-Reviews-Green_Apartments-Kigali_Kigali_Province.html
Hotel Saint Nolan,Butare,Southern Province,,,https://www.tripadvisor.com/Hotel_Review-g480231-d7737358-Reviews-Hotel_Saint_Nolan-Butare_Southern_Province.html
La Floraison,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d12402994-Reviews-La_Floraison-Kigali_Kigali_Province.html
Nandi Residence,Kigali,Kigali Province,0,,https://www.tripadvisor.com/Hotel_Review-g293829-d20153514-Reviews-Nandi_Residence-Kigali_Kigali_Province.html
