Name,Channel,Category,Year,URL
Hotel Rwanda 'hero' sues Greek airline for 'aiding kidnap',Africa,News,2020,https://www.bbc.co.uk/news/world-africa-55346781
2022 World Cup: Balogun and Nigeria avenge shock CAR loss,Sport Africa,Sport,2021,https://www.bbc.co.uk/sport/africa/58864892
Women's Africa Cup of Nations: DR Congo eliminated from qualifying,Sport Africa,Sport,2021,https://www.bbc.co.uk/sport/africa/58981051
From Our Own Correspondent: Starting again: The lives of refugees in their new home,BBC World Service,Programmes,2021,https://www.bbc.co.uk/programmes/w3ct1mvg
Fespaco: Pomp and colour as Africaâs biggest film festival starts,Africa,News,2021,https://www.bbc.co.uk/news/world-africa-58945414
Rwanda's clothing spat with the US helps China,Business,News,2020,https://www.bbc.co.uk/news/business-54164397
Africa Today: Rwanda genocide suspect loses extradition appeal,BBC World Service,Programmes,2020,https://www.bbc.co.uk/programmes/p08t08lk
Dominic Raab urged to block new Rwandan diplomat amid human rights concerns,UK Politics,News,2021,https://www.bbc.co.uk/news/uk-politics-58549303
Paul Rusesabagina: Hotel Rwanda film hero arrested,Africa,News,2020,https://www.bbc.co.uk/news/world-africa-53972924
Focus on Africa: Rwanda genocide suspect loses extradition appeal,BBC World Service,Programmes,2020,https://www.bbc.co.uk/programmes/w172x1gpvzftfy0
Paul Rusesabagina: Hotel Rwanda hero charged with terrorism,Africa,News,2020,https://www.bbc.co.uk/news/world-africa-54147759
Global News Podcast: Russia: Gunman kills six people at university in Perm,BBC World Service,Programmes,2021,https://www.bbc.co.uk/programmes/p09wh26q
Swapping cash for online payments in Rwanda,Business,News,2020,https://www.bbc.co.uk/news/business-53715573
Paul Rusesabagina: Hotel Rwanda hero 'abducted in Dubai',Africa,News,2020,https://www.bbc.co.uk/news/world-africa-53978707
100 Years of Exile: How do refugee crises end?,BBC Radio 4,Programmes,2021,https://www.bbc.co.uk/programmes/m0010pvs
Mozambique crisis: Sex-slave freeing Rwandan soldiers greeted as heroes,Africa,News,2021,https://www.bbc.co.uk/news/world-africa-58783030
100 Years of Exile: Who is a refugee?,BBC Radio 4,Programmes,2021,https://www.bbc.co.uk/programmes/m00107vz
FÃ©licien Kabuga: French court backs extradition of Rwanda genocide suspect,Africa,News,2020,https://www.bbc.co.uk/news/world-africa-54340411
Paul Rusesabagina: President denies Hotel Rwanda hero was kidnapped,Africa,News,2020,https://www.bbc.co.uk/news/world-africa-54050510
2022 World Cup: Who needs to do what to reach Africa's play-off places,Sport Africa,Sport,2021,https://www.bbc.co.uk/sport/africa/58887616
Rwandan ex-army officer gunned down in Mozambique,Africa,News,2021,https://www.bbc.co.uk/news/world-africa-58557350
Covid in Scotland: Â£11m of unused PPE shipped to Africa,Scotland,News,2021,https://www.bbc.co.uk/news/uk-scotland-58539105
Mozambique militant attacks: 'So much destruction',Africa,News,2021,https://www.bbc.co.uk/news/world-africa-58671942
Focus on Africa: Hotel Rwanda protagonist arrested on terror charges,BBC World Service,Programmes,2020,https://www.bbc.co.uk/programmes/w172x1gndx5j95q
The Science Hour: Rwandaâs game changing coronavirus test,BBC World Service,Programmes,2020,https://www.bbc.co.uk/programmes/w3cszkwv
Science in Action: Rwandaâs game changing coronavirus test,BBC World Service,Programmes,2020,https://www.bbc.co.uk/programmes/w3cszh0k
Africa Today: Rwandan Court sentences Paul Rusesabagina to 25 years,BBC World Service,Programmes,2021,https://www.bbc.co.uk/programmes/p09whl31
This Is Africa: Mayra Andrade and Yvan Buravan,BBC World Service,Programmes,2021,https://www.bbc.co.uk/programmes/w3ct1pfq
Science in Action: Drug resistant malaria found in East Africa,BBC World Service,Programmes,2021,https://www.bbc.co.uk/programmes/w3ct1l48
Focus on Africa: Rwanda: Paul Rusesabaginaâs daughter on her fatherâs arrest,BBC World Service,Programmes,2020,https://www.bbc.co.uk/programmes/w172x1gns5hkx0l
Focus on Africa: Paul Rusesabagina is convicted of terrorism,BBC World Service,Programmes,2021,https://www.bbc.co.uk/programmes/w172xwp41fn8hrb
Health Check: Faster cheaper Covid testing in Rwanda,BBC World Service,Programmes,2020,https://www.bbc.co.uk/programmes/w3cszcbz
Mozambique militant attacks: 'So much destruction',Africa,News,2021,https://www.bbc.co.uk/news/world-africa-58673329
Assignment: Rwanda Defiant,BBC World Service,Programmes,2001,https://www.bbc.co.uk/programmes/p03ghtd0
Focus on Africa: Guineaâs coup leaders start cross-party talks,BBC World Service,Programmes,2021,https://www.bbc.co.uk/programmes/w172xwp3p5blhjv
